town_centre,borough,classification_lp2016,restaurants_cafes,public_houses_other_drinking,hot_food_takeaways,hotels,art_galleries_museums,cinema,theatres,night_clubs,total_nte
Greenford,Ealing,District,0.000826676,0.001088981,0.003298004,0,0,0,0,0,0.001123978
Hanwell,Ealing,District,0.001073445,0.00367531,0.002231003,0,0,0,0,0,0.00192295
Angel Edmonton,Enfield,District,0.001764397,0.004573719,0.004106338,0,0,0,0,0,0.002735464
Edmonton Green,Enfield,District,0.00301058,0.00054449,0.002813003,0.005178708,0,0,0.001735648,0,0.002008716
Palmers Green,Enfield,District,0.004417163,0.005390454,0.004850005,0,0,0,0,0,0.004080624
Southgate,Enfield,District,0.003738548,0.003893106,0.004300338,0,0,0,0,0,0.003259081
Greenwich West,Greenwich,District,0.005490607,0.008956865,0.002263336,0.019271585,0,0.003177966,0,0,0.006509143
Plumstead,Greenwich,District,0.001089485,0,0,0,0,0,0,0,0.000398583
Thamesmead,Greenwich,District,0.000135723,0.000762286,0.003007003,0,0,0,0,0,0.000722235
East Greenwich,Greenwich,District,0.001320213,0.001769593,0.002942337,0.00297139,0,0,0,0,0.00163857
Mare Street,Hackney,District,0.000913045,0.004791515,0.005238006,0,0.018,0.012863196,0.021228304,0,0.004220577
Stoke Newington,Hackney,District,0.004009994,0.004546494,0.005173339,0,0,0.000756659,0,0,0.003742077
Bruce Grove/ Tottenham High Road,Haringey,District,0.000567568,0,0.003815338,0,0,0,0,0,0.00074029
Crouch End,Haringey,District,0.005120454,0.005989393,0.001067001,0,0,0,0,0,0.004008398
Green Lanes,Haringey,District,0.003972979,0.003484738,0.005367339,0,0,0,0,0,0.003358389
Muswell Hill,Haringey,District,0.004910701,0.003348615,0.000905334,0,0,0.010668886,0,0.001914975,0.003692425
West Green Road/ Seven Sisters,Haringey,District,0.000629261,0.000571715,0.002328003,0,0,0,0,0,0.000744804
North Harrow,Harrow,District,0.000727968,0.000408368,0.002004669,0,0,0,0,0,0.000681609
Pinner,Harrow,District,0.003713871,0.001170654,0.000808334,0,0,0,0,0,0.001859752
Rayners Lane,Harrow,District,0.002183905,0.001606246,0.006175674,0,0,0,0,0,0.002193787
South Harrow,Harrow,District,0.001715044,0.000381143,0.003718338,0,0,0,0,0,0.001272938
Stanmore,Harrow,District,0.002628088,0.003729759,0.000937668,0,0,0,0,0,0.002329205
Wealdstone,Harrow,District,0.001850767,0.001579022,0.004656005,0,0,0,0,0,0.001850726
Kenton,Harrow/Brent,District,0.001258521,0.002341308,0.001584335,0.014432465,0,0,0,0,0.002225388
Collier Row,Havering,District,0.000888368,0.00138845,0.002360336,0,0,0,0,0,0.00111495
Elm Park,Havering,District,0.000877263,0,0,0,0,0,0,0,0.000320942
Harold Hill,Havering,District,0.000592245,0,0.000549667,0,0,0,0,0,0.000293407
Hornchurch,Havering,District,0.006860175,0.005199882,0.003556671,0,0,0,0,0,0.004730633
Rainham,Havering,District,0,0,0,0,0,0,0,0,0
Upminster,Havering,District,0.004478855,0.001905716,0.004591339,0,0,0,0,0,0.002911506
Eastcote,Hillingdon,District,0.001789074,0.002640778,0.003944671,0,0,0,0,0,0.002080937
Hayes,Hillingdon,District,0.002763811,0.003593636,0.00614334,0,0,0,0,0,0.003060468
Northwood,Hillingdon,District,0.001801413,0.00114343,0.002004669,0,0,0,0,0,0.001318077
Ruislip,Hillingdon,District,0.002714458,0.002776901,0.002910003,0,0,0,0,0,0.002320177
Yiewsley/ West Drayton,Hillingdon,District,0.002689781,0.003702534,0.005044006,0,0,0,0,0.005744925,0.002983731
Brentford,Hounslow,District,0.001024091,0.002722452,0.000582001,0,0,0,0,0,0.001358703
Feltham High Street,Hounslow,District,0.00127086,0.001225103,0.002069336,0.038458273,0,0,0,0,0.003204927
Archway,Islington,District,0.002504704,0.002096288,0.004138671,0,0,0,0,0.004978935,0.002247954
Finsbury Park,Islington/ Hackney/ Haringey,District,0.006884851,0.006125516,0.008600676,0,0,0,0,0,0.00575079
Earls Court Road,Kensington and Chelsea,District,0.002961226,0.002205186,0.002069336,0,0,0,0,0,0.002103507
Fulham Road (east),Kensington and Chelsea,District,0.002591073,0.002041839,0,0,0,0,0,0,0.001625025
Fulham Road (west),Kensington and Chelsea,District,0.002973565,0.00223241,0.000452667,0,0,0,0,0,0.001891349
King's Road (west),Kensington and Chelsea,District,0.00444184,0.002096288,0,0,0,0.001059322,0,0,0.002383371
Notting Hill Gate,Kensington and Chelsea,District,0.004577563,0.003457513,0.003104004,0,0,0.003177966,0,0,0.003444155
Portobello Road,Kensington and Chelsea,District,0.004182732,0.00367531,0.000614334,0,0,0.003404964,0,0,0.003037897
South Kensington,Kensington and Chelsea,District,0.004429501,0.001442899,0.002328003,0.016300195,0,0,0,0.001914975,0.003313254
New Malden,Kingston upon Thames,District,0.004417163,0.003484738,0.003750671,0,0,0,0,0.001148985,0.003308735
Surbiton,Kingston upon Thames,District,0.004478855,0.005826046,0.004138671,0.002377112,0,0,0,0,0.004274725
Tolworth,Kingston upon Thames,District,0.001554644,0.001361226,0.003007003,0.00297139,0,0,0,0,0.001597943
Clapham High Street,Lambeth,District,0.008180388,0.01350336,0.005917007,0,0,0.003556295,0.006408545,0.046342398,0.00927168
Stockwell,Lambeth,District,0.000777322,0.001088981,0.001067001,0,0,0,0,0,0.000794458
West Norwood/ Tulse Hill,Lambeth,District,0.002689781,0.005090984,0.004914672,0.001188556,0,0,0,0.002680965,0.003453184
Lavender Hill/ Queenstown Road,Lambeth/Wandsworth,District,0.001653351,0.000598939,0.001746002,0,0,0,0,0,0.001047239
Blackheath,Lewisham/ Greenwich,District,0.003528795,0.004655392,0.000420334,0,0,0,0.002136182,0,0.002965674
Deptford,Lewisham,District,0.002788488,0.004083677,0.004559005,0,0,0.000983656,0,0,0.003069496
Downham,Lewisham,District,0.000407169,0,0.002263336,0,0,0,0,0,0.000464938
Forest Hill,Lewisham,District,0.002097535,0.007051149,0.004203338,0,0,0,0,0,0.003692424
Lee Green,Lewisham/ Greenwich,District,0.000929085,0,0,0,0,0,0,0,0.000339901
New Cross,Lewisham,District,0.001813751,0.001905716,0.003653671,0.007131335,0,0,0,0.044044427,0.002703866
Sydenham,Lewisham,District,0.002085197,0.002341308,0.003556671,0,0,0,0,0,0.002035798
Mitcham,Merton,District,0.001221506,0.001551797,0.004365005,0,0,0,0,0,0.00157086
Morden,Merton,District,0.002628088,0.004247024,0.00585234,0,0,0,0,0,0.003186859
Canning Town,Newham,District,0.000900706,0,0.002263336,0.01562102,0,0,0,0,0.001476071
East Beckton,Newham,District,0.000333138,0.003620861,0,0.012989218,0,0,0,0,0.002013232
Forest Gate,Newham,District,0.001628675,0.003838657,0.004753005,0,0,0,0,0,0.002532335
